"","OriginalNames","AccN","Species","file","OldSpecies"
"1","KX786344 Felis catus","KX786344","Felis_catus","12S ribosomal RNA.fasta","Felis_catus"
"2","KU963205 Felis chaus","KU963205","Felis_chaus","12S ribosomal RNA.fasta","Felis_chaus"
"3","KX002032 Felis silvestris","KX002032","Felis_silvestris","12S ribosomal RNA.fasta","Felis_silvestris"
"4","AY773084 Felis bieti","AY773084","Felis_bieti","12S ribosomal RNA.fasta","Felis_bieti"
"5","LC424764 Vulpes vulpes","LC424764","Vulpes_vulpes","12S ribosomal RNA.fasta","Vulpes_vulpes"
"6","KM224240 Vulpes lagopus","KM224240","Vulpes_lagopus","12S ribosomal RNA.fasta","Vulpes_lagopus"
"8","GU174591 Phoca largha","GU174591","Phoca_largha","12S ribosomal RNA.fasta","Phoca_largha"
"9","AY012154 Manis pentadactyla","AY012154","Manis_pentadactyla","12S ribosomal RNA.fasta","Manis_pentadactyla"
"10","AY011183 Felis catus","AY011183","Felis_catus","16S ribosomal RNA.fasta","Felis_catus"
"11","MF444948 Felis silvestris","MF444948","Felis_silvestris","16S ribosomal RNA.fasta","Felis_silvestris"
"12","AF006395 Felis libyca","AF006395","Felis_silvestris","16S ribosomal RNA.fasta","Felis_libyca"
"13","AF006399 Felis nigripes","AF006399","Felis_nigripes","16S ribosomal RNA.fasta","Felis_nigripes"
"14","AF006397 Felis margarita","AF006397","Felis_margarita","16S ribosomal RNA.fasta","Felis_margarita"
"15","AF006393 Felis chaus","AF006393","Felis_chaus","16S ribosomal RNA.fasta","Felis_chaus"
"16","DQ334815 Vulpes vulpes","DQ334815","Vulpes_vulpes","16S ribosomal RNA.fasta","Vulpes_vulpes"
"17","DQ334814 Vulpes lagopus","DQ334814","Vulpes_lagopus","16S ribosomal RNA.fasta","Vulpes_lagopus"
"18","KC538826 Vulpes ferrilata","KC538826","Vulpes_ferrilata","16S ribosomal RNA.fasta","Vulpes_ferrilata"
"19","AY011188 Manis pentadactyla","AY011188","Manis_pentadactyla","16S ribosomal RNA.fasta","Manis_pentadactyla"
"20","KY661882 Felis catus","KY661882","Felis_catus","COI.fasta","Felis_catus"
"21","KX012677 Felis nigripes","KX012677","Felis_nigripes","COI.fasta","Felis_nigripes"
"22","KF297765 Felis margarita","KF297765","Felis_margarita","COI.fasta","Felis_margarita"
"23","JF443560 Vulpes vulpes","JF443560","Vulpes_vulpes","COI.fasta","Vulpes_vulpes"
"24","KX012672 Vulpes chama","KX012672","Vulpes_chama","COI.fasta","Vulpes_chama"
"25","JF443554 Vulpes lagopus","JF443554","Vulpes_lagopus","COI.fasta","Vulpes_lagopus"
"26","JF443557 Vulpes velox","JF443557","Vulpes_velox","COI.fasta","Vulpes_velox"
"27","JF443364 Phoca vitulina","JF443364","Phoca_vitulina","COI.fasta","Phoca_vitulina"
"28","JF443363 Phoca largha","JF443363","Phoca_largha","COI.fasta","Phoca_largha"
"30","KT428152 Manis pentadactyla","KT428152","Manis_pentadactyla","COI.fasta","Manis_pentadactyla"
"31","KF297804 Felis silvestris","KF297804","Felis_silvestris","COI.fasta","Felis_silvestris"
"32","KJ634464 Felis chaus","KJ634464","Felis_chaus","COI.fasta","Felis_chaus"
"33","ON377297 Vulpes corsac","ON377297","Vulpes_corsac","COI.fasta","Vulpes_corsac"
"34","AY894421 Alopex lagopus","AY894421","Vulpes_lagopus","COI.fasta","Alopex_lagopus"
"35","AF028205 Vulpes macrotis","AF028205","Vulpes_macrotis","COI.fasta","Vulpes_macrotis"
"36","AF028194 Vulpes zerda","AF028194","Vulpes_zerda","COI.fasta","Vulpes_zerda"
"37","MW267828 Felis catus","MW267828","Felis_catus","cytochrome b.fasta","Felis_catus"
"38","MN537982 Felis silvestris","MN537982","Felis_silvestris","cytochrome b.fasta","Felis_silvestris"
"39","MN370575 Felis chaus","MN370575","Felis_chaus","cytochrome b.fasta","Felis_chaus"
"40","MK606132 Felis margarita","MK606132","Felis_margarita","cytochrome b.fasta","Felis_margarita"
"41","AY773081 Felis bieti","AY773081","Felis_bieti","cytochrome b.fasta","Felis_bieti"
"42","MT795179 Vulpes corsac","MT795179","Vulpes_corsac","cytochrome b.fasta","Vulpes_corsac"
"43","EF689062 Vulpes vulpes","EF689062","Vulpes_vulpes","cytochrome b.fasta","Vulpes_vulpes"
"44","MH854561 Vulpes zerda","MH854561","Vulpes_zerda","cytochrome b.fasta","Vulpes_zerda"
"45","KU378587 Vulpes cana","KU378587","Vulpes_cana","cytochrome b.fasta","Vulpes_cana"
"46","KU378373 Vulpes rueppellii","KU378373","Vulpes_rueppellii","cytochrome b.fasta","Vulpes_rueppellii"
"47","KX093945 Vulpes lagopus","KX093945","Vulpes_lagopus","cytochrome b.fasta","Vulpes_lagopus"
"48","EU872065 Vulpes ferrilata","EU872065","Vulpes_ferrilata","cytochrome b.fasta","Vulpes_ferrilata"
"49","AF028157 Vulpes macrotis","AF028157","Vulpes_macrotis","cytochrome b.fasta","Vulpes_macrotis"
"50","KJ597964 Vulpes pallida","KJ597964","Vulpes_pallida","cytochrome b.fasta","Vulpes_pallida"
"51","LC466149 Phoca largha","LC466149","Phoca_largha","cytochrome b.fasta","Phoca_largha"
"54","L19127 Phoca vitulina","L19127","Phoca_vitulina","cytochrome b.fasta","Phoca_vitulina"
"55","MW197468 Manis pentadactyla","MW197468","Manis_pentadactyla","cytochrome b.fasta","Manis_pentadactyla"
"56","DQ205829 Felis catus","DQ205829","Felis_catus","growth hormone receptor.fasta","Felis_catus"
"57","AY885401 Vulpes vulpes","AY885401","Vulpes_vulpes","growth hormone receptor.fasta","Vulpes_vulpes"
"58","AY885400 Vulpes macrotis","AY885400","Vulpes_macrotis","growth hormone receptor.fasta","Vulpes_macrotis"
"59","AY885399 Vulpes corsac","AY885399","Vulpes_corsac","growth hormone receptor.fasta","Vulpes_corsac"
"60","AY885393 Vulpes zerda","AY885393","Vulpes_zerda","growth hormone receptor.fasta","Vulpes_zerda"
"61","AY885379 Alopex lagopus","AY885379","Vulpes_lagopus","growth hormone receptor.fasta","Alopex_lagopus"
"62","DQ205838 Vulpes velox","DQ205838","Vulpes_velox","growth hormone receptor.fasta","Vulpes_velox"
"63","DQ205837 Vulpes lagopus","DQ205837","Vulpes_lagopus","growth hormone receptor.fasta","Vulpes_lagopus"
"64","GU931127 Phoca vitulina","GU931127","Phoca_vitulina","growth hormone receptor.fasta","Phoca_vitulina"
"65","DQ205827 Phoca largha","DQ205827","Phoca_largha","growth hormone receptor.fasta","Phoca_largha"
"67","EU448992 Manis pentadactyla","EU448992","Manis_pentadactyla","growth hormone receptor.fasta","Manis_pentadactyla"
